identifier,image_path,asy_path,function_type
linear_s0.45_i-4.01,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.45_i-4.01.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.45_i-4.01.asy,linear
linear_s2.85_i3.18,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.85_i3.18.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.85_i3.18.asy,linear
linear_s2.36_i2.59,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.36_i2.59.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.36_i2.59.asy,linear
linear_s-1.28_i-3.12,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.28_i-3.12.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.28_i-3.12.asy,linear
linear_s-0.9_i1.81,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.9_i1.81.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.9_i1.81.asy,linear
linear_s-0.95_i-2.79,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.95_i-2.79.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.95_i-2.79.asy,linear
linear_s-2.15_i4.36,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.15_i4.36.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.15_i4.36.asy,linear
linear_s0.85_i3.26,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.85_i3.26.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.85_i3.26.asy,linear
linear_s2.64_i-0.22,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.64_i-0.22.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.64_i-0.22.asy,linear
linear_s0.32_i-2.96,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.32_i-2.96.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.32_i-2.96.asy,linear
linear_s1.45_i1.48,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.45_i1.48.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.45_i1.48.asy,linear
linear_s2.95_i2.16,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.95_i2.16.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.95_i2.16.asy,linear
linear_s1.69_i-2.13,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.69_i-2.13.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s1.69_i-2.13.asy,linear
linear_s-0.8_i-4.67,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.8_i-4.67.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.8_i-4.67.asy,linear
linear_s0.4_i2.94,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.4_i2.94.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s0.4_i2.94.asy,linear
linear_s2.15_i3.67,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.15_i3.67.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s2.15_i3.67.asy,linear
linear_s-2.35_i2.58,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.35_i2.58.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.35_i2.58.asy,linear
linear_s-2.94_i-3.98,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.94_i-3.98.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.94_i-3.98.asy,linear
linear_s-2.36_i4.22,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.36_i4.22.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.36_i4.22.asy,linear
linear_s-0.48_i4.44,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.48_i4.44.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.48_i4.44.asy,linear
linear_s-2.27_i4.72,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.27_i4.72.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-2.27_i4.72.asy,linear
linear_s-0.45_i2.9,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.45_i2.9.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-0.45_i2.9.asy,linear
linear_s-1.15_i-2.94,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.15_i-2.94.png,/content/drive/MyDrive/StarSparkProj/AsymptoteDataset_Full/linear_s-1.15_i-2.94.asy,linear
